index,position,value,amplitude,start,end,width,xPosition,xStart,xEnd,xWidth,x_symmetry,y_symmetry,sigma_left,sigma_right,i_Minmax
1.000000,80.000000,1.656854,24.020514,64.000000,100.000000,36.000000,80.000000,64.000000,100.000000,36.000000,0.800000,0.792208,14.143464,12.851488,1.000000
2.000000,362.000000,1.696069,24.628843,345.000000,379.000000,34.000000,362.000000,345.000000,379.000000,34.000000,1.000000,0.846154,14.167991,11.160790,1.000000
3.000000,643.000000,1.735285,27.057791,624.000000,663.000000,39.000000,643.000000,624.000000,663.000000,39.000000,0.950000,0.819277,15.710587,11.998858,1.000000
4.000000,925.000000,1.696069,28.236208,910.000000,947.000000,37.000000,925.000000,910.000000,947.000000,37.000000,0.681818,0.734940,13.572164,12.284073,1.000000
5.000000,1206.000000,1.656854,26.001196,1185.000000,1224.000000,39.000000,1206.000000,1185.000000,1224.000000,39.000000,0.857143,0.870130,16.735519,11.566339,1.000000
6.000000,1248.000000,0.205876,0.637031,1243.000000,1253.000000,10.000000,1248.000000,1243.000000,1253.000000,10.000000,1.000000,0.749997,7.219969,8.619653,1.000000
7.000000,1488.000000,1.637246,27.576620,1471.000000,1509.000000,38.000000,1488.000000,1471.000000,1509.000000,38.000000,0.809524,0.765432,14.594539,11.211103,1.000000
8.000000,1769.000000,1.656854,28.345419,1751.000000,1793.000000,42.000000,1769.000000,1751.000000,1793.000000,42.000000,0.750000,0.768293,15.385688,12.791007,1.000000
9.000000,1996.000000,0.480386,0.774571,1991.000000,2001.000000,10.000000,1996.000000,1991.000000,2001.000000,10.000000,1.000000,0.166668,24.492870,9.433855,1.000000
10.000000,2052.000000,1.676461,25.696789,2033.000000,2068.000000,35.000000,2052.000000,2033.000000,2068.000000,35.000000,0.842105,0.831169,16.171101,10.530696,1.000000
11.000000,2097.000000,0.186269,0.598188,2092.000000,2102.000000,10.000000,2097.000000,2092.000000,2102.000000,10.000000,1.000000,0.750000,6.763114,8.116338,1.000000
12.000000,2335.000000,1.676461,24.020725,2317.000000,2353.000000,36.000000,2335.000000,2317.000000,2353.000000,36.000000,1.000000,0.846154,14.805357,11.538350,1.000000
